"TOA5","CR300-23667","CR300","23667","CR300-CELL205.Std.10.02","CPU:Testbed_codeSeparateTables-NoDelay.CR300","57864","Table_SoilVue"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","SoilVue_VWC_5_Avg","SoilVue_Perm_5_Avg","SoilVue_Temp_5_Avg","SoilVue_EC_5_Avg","SoilVue_VWC_10_Avg","SoilVue_Perm_10_Avg","SoilVue_Temp_10_Avg","SoilVue_EC_10_Avg","SoilVue_VWC_20_Avg","SoilVue_Perm_20_Avg","SoilVue_Temp_20_Avg","SoilVue_EC_20_Avg","SoilVue_VWC_30_Avg","SoilVue_Perm_30_Avg","SoilVue_Temp_30_Avg","SoilVue_EC_30_Avg","SoilVue_VWC_40_Avg","SoilVue_Perm_40_Avg","SoilVue_Temp_40_Avg","SoilVue_EC_40_Avg","SoilVue_VWC_50_Avg","SoilVue_Perm_50_Avg","SoilVue_Temp_50_Avg","SoilVue_EC_50_Avg"
"TS","RN","name","decdegrees","decdegrees","m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-06-01 12:14:00",54,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.238,22.11,0.004,0,1.275,22.11,0.007,0,1.355,22.29,0.011,0,1.417,23.33,0.007,0,1.181,22.91,0.009,0,1.354,22.38,0.01
"2022-06-01 12:16:00",55,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.232,22.11,0.004,0,1.225,22.11,0.005,0,1.286,22.29,0.011,0,1.439,23.33,0.004,0,1.165,22.94,0.008,0,1.309,22.38,0.012
"2022-06-01 12:18:00",56,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.21,22.11,0.005,0,1.268,22.14,0.006,0,1.314,22.29,0.01,0,1.397,23.33,0.008,0,1.169,22.94,0.008,0,1.32,22.38,0.011
"2022-06-01 12:20:00",57,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.195,22.11,0.006,0,1.198,22.14,0.006,0,1.284,22.29,0.012,0,1.437,23.36,0.004,0,1.162,22.94,0.01,0,1.324,22.38,0.009
"2022-06-01 12:22:00",58,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.203,22.11,0.004,0,1.25,22.14,0.007,0,1.368,22.29,0.01,0,1.437,23.36,0.007,0,1.171,22.94,0.01,0,1.251,22.38,0.011
"2022-06-01 12:24:00",59,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.208,22.11,0.004,0,1.205,22.14,0.006,0,1.318,22.32,0.011,0,1.465,23.36,0.008,0,1.151,22.97,0.01,0,1.362,22.4,0.011
"2022-06-01 12:26:00",60,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.22,22.11,0.002,0,1.226,22.14,0.006,0,1.287,22.32,0.01,0,1.446,23.36,0.004,0,1.148,22.97,0.01,0,1.323,22.4,0.009
"2022-06-01 12:28:00",61,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.172,22.14,0.004,0,1.239,22.14,0.008,0,1.333,22.32,0.012,0,1.479,23.39,0.005,0,1.168,22.97,0.008,0,1.329,22.4,0.01
"2022-06-01 12:30:00",62,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.245,22.14,0.004,0,1.216,22.14,0.006,0,1.347,22.32,0.011,0,1.309,23.39,0.004,0,1.169,22.97,0.012,0,1.316,22.4,0.009
"2022-06-01 12:32:00",63,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.203,22.14,0.004,0,1.228,22.17,0.007,0,1.389,22.32,0.01,0,1.364,23.39,0.004,0,1.168,22.97,0.009,0,1.313,22.4,0.01
"2022-06-01 12:34:00",64,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.171,22.14,0.007,0,1.241,22.17,0.006,0,1.354,22.35,0.013,0,1.424,23.39,0.004,0,1.206,23,0.008,0,1.321,22.4,0.009
