"TOA5","CR300-23666","CR300","23666","CR300-CELL205.Std.10.02","CPU:Testbed_code_site_2.CR300","5761","Table_CS229"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","CS229_StartTemp_5_Avg","CS229_Temp_1sec_5_Avg","CS229_Temp_30sec_5_Avg","CS229_Delta_Temp_5_Avg","CS229_Delta_Tempcorr_5_Avg","CS229_Matric_P_5_Avg"
"TS","RN","name","decdegrees","decdegrees","m","","","","","",""
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-07-05 06:00:00",89,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 07:00:00",90,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 08:00:00",91,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 09:00:00",92,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 10:00:00",93,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 11:00:00",94,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 12:00:00",95,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 13:00:00",96,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 14:00:00",97,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 15:00:00",98,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 16:00:00",99,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 17:00:00",100,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 18:00:00",101,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 19:00:00",102,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 20:00:00",103,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 21:00:00",104,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 22:00:00",105,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 23:00:00",106,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 00:00:00",107,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 01:00:00",108,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 02:00:00",109,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 03:00:00",110,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 04:00:00",111,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 05:00:00",112,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 06:00:00",113,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 07:00:00",114,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 08:00:00",115,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 09:00:00",116,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 10:00:00",117,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 11:00:00",118,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 12:00:00",119,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 13:00:00",120,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 14:00:00",121,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 15:00:00",122,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 16:00:00",123,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 17:00:00",124,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 18:00:00",125,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 19:00:00",126,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 20:00:00",127,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 21:00:00",128,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 22:00:00",129,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-06 23:00:00",130,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-07 00:00:00",131,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-07 01:00:00",132,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-07 02:00:00",133,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-07 03:00:00",134,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-07 04:00:00",135,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-07 05:00:00",136,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-07 06:00:00",137,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-07 07:00:00",138,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-07 08:00:00",139,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-07 09:00:00",140,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-07 10:00:00",141,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-07 11:00:00",142,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
